doc_id,citation_count
293380507,188525
24750736,136304
301772377,132080
309643609,117354
301673022,76353
293378774,56696
298826014,50879
308876206,31529
293925138,27773
293380578,23603
310319426,19330
139831205,14985
344064,14967
303975193,13518
60846179,13438
894847,13386
17203029,13272
131287021,12935
37627462,11731
43113022,10807
1596883,10804
292499521,10764
303976772,10582
303977404,10263
148841149,10066
39078620,9956
310213722,9928
1256813,9852
301760132,9022
293378626,8895
8700710,8515
313495326,8379
303975393,8322
301772903,8228
296116634,8020
648579,8018
304427650,7991
7123187,7946
47141548,7937
56107089,7857
4381218,7806
304431164,7724
300333998,7597
297507013,7500
289756952,7460
4871526,7252
42415732,7048
38666204,7008
17188810,6865
308906388,6773
310214165,6731
17616185,6651
305129440,6424
46889065,6420
303203160,6173
1102186,6097
6606449,6022
136484307,6017
304428944,5922
8645523,5903
931235,5862
8699379,5796
128010604,5757
313489070,5752
11867720,5741
311267509,5615
297507134,5596
24726922,5591
301772572,5572
301490309,5541
311260731,5535
58969864,5486
293378841,5458
8734075,5445
7006129,5394
46887528,5373
309641644,5368
43120724,5264
1079997,5212
885681,5158
297507090,5120
52309048,5093
6400827,5086
303975222,5062
147086681,5026
943150,4937
156014509,4922
60195142,4842
301672850,4838
294930434,4804
311266654,4803
313489649,4779
602200,4727
37615795,4711
304466222,4691
46813424,4670
8851,4641
43889075,4630
310220427,4571
147230328,4538
303975446,4480
18028162,4434
296113683,4382
309642764,4364
73828465,4299
309643063,4280
211864599,4267
309644679,4264
40921165,4126
46812712,4104
162640617,4082
19105,4060
217827,4040
9316308,4037
18087187,4032
8766957,3989
6243144,3989
7141335,3989
33015752,3916
47080,3901
313486078,3887
301440261,3865
15070453,3854
302500265,3849
942057,3833
42828957,3805
6956740,3802
42598492,3789
26028706,3781
46806685,3749
41339581,3715
147837483,3710
293380597,3684
311260553,3676
934782,3661
151521927,3615
32590905,3601
301772677,3588
310215022,3581
147597270,3578
18026007,3568
52227725,3567
308882333,3538
83304931,3537
233225,3486
24729849,3473
304429766,3467
6257250,3438
33012857,3436
293922924,3379
46811331,3348
313019335,3343
304429642,3338
145046056,3331
33011450,3307
890859,3272
77632280,3230
312493082,3222
32547238,3220
301772749,3205
297507032,3185
15109549,3137
172578177,3137
6837133,3123
45147054,3107
130797219,3080
23039848,3075
32545665,3070
42630079,3070
43731544,3040
8034391,3022
6834042,3006
242571,3004
25260255,2990
311263424,2989
52226800,2983
12150141,2974
60428165,2963
15611819,2961
351898,2942
309642978,2929
6255808,2925
718483,2919
16942802,2895
42891327,2880
291812519,2859
32244779,2855
301772364,2849
7230536,2846
309639657,2829
37644992,2820
24704655,2817
42340693,2813
42823027,2813
784235,2799
309639957,2787
296115276,2773
313486338,2771
96716558,2762
51912417,2748
304427699,2729
10102,2727
284029566,2726
8646920,2725
303823108,2710
6449143,2709
46771894,2705
82407120,2693
5125067,2692
7183099,2689
880501,2687
7183151,2669
309644925,2667
85866606,2656
7067062,2642
6935521,2631
311256936,2628
10490,2615
17419547,2612
42897817,2607
292327560,2602
85868772,2595
173873333,2572
5123502,2559
6431444,2549
6820006,2538
7353261,2535
9018706,2515
312166271,2491
58979674,2473
300213329,2464
10366,2448
298521685,2443
156537785,2439
44606645,2433
7801770,2425
211355298,2423
42848755,2421
46876355,2419
311282174,2413
5123287,2411
2403717,2405
44618782,2403
241754541,2400
51508134,2399
311275449,2391
30311893,2390
311277779,2377
301772884,2356
241281,2345
301440344,2344
8657936,2343
8002173,2335
50748031,2328
18495750,2324
